,LoanAmount,Loan_Amount_Term,Credit_History,Dependents,Gender_Male,Married_Yes,Self_Employed_Yes,Status
96,137.0,360.0,1.0,0,0,1,0,Y
97,50.0,360.0,1.0,0,1,1,0,Y
98,115.0,180.0,1.0,0,1,1,0,Y
99,131.0,360.0,1.0,0,1,1,0,Y
100,133.0,180.0,1.0,2,1,1,0,Y
101,151.0,360.0,1.0,0,1,0,0,Y
102,146.41216216216216,360.0,1.0,0,1,1,0,Y
103,146.41216216216216,360.0,1.0,0,1,1,0,Y
104,160.0,360.0,1.0,0,1,1,0,Y
105,100.0,360.0,1.0,1,1,1,0,Y
106,225.0,360.0,1.0,2,1,1,0,Y
107,120.0,360.0,1.0,0,1,0,0,N
108,216.0,360.0,0.0,2,1,1,0,N
109,94.0,480.0,1.0,4,1,1,0,Y
110,136.0,360.0,1.0,0,1,0,0,Y
111,139.0,360.0,1.0,0,0,1,0,Y
112,152.0,342.0,0.0,0,1,1,0,N
113,146.41216216216216,360.0,1.0,1,0,0,1,Y
114,118.0,360.0,1.0,0,1,0,0,Y
115,185.0,180.0,1.0,1,1,1,0,Y
116,154.0,360.0,1.0,0,0,1,0,Y
117,85.0,360.0,0.8421985815602837,1,1,1,0,Y
118,175.0,360.0,1.0,0,1,1,0,N
119,259.0,360.0,1.0,0,0,0,0,Y
120,180.0,360.0,1.0,0,1,1,0,Y
121,44.0,360.0,1.0,0,0,0,0,Y
122,137.0,360.0,0.0,0,0,0,0,Y
123,81.0,360.0,1.0,2,1,1,0,Y
124,194.0,360.0,1.0,0,1,1,0,Y
125,93.0,360.0,0.8421985815602837,0,0,0,0,Y
126,370.0,360.0,1.0,4,1,1,0,Y
127,146.41216216216216,360.0,1.0,0,1,0,0,Y
128,160.0,180.0,0.0,1,1,1,1,N
129,182.0,360.0,0.8421985815602837,0,1,1,0,N
130,650.0,480.0,0.8421985815602837,0,1,0,1,Y
131,74.0,360.0,1.0,0,1,0,0,Y
132,70.0,360.0,1.0,0,1,0,0,Y
133,25.0,120.0,1.0,0,1,1,1,Y
134,102.0,360.0,1.0,0,1,0,0,Y
135,290.0,360.0,1.0,4,1,1,0,N
136,84.0,360.0,1.0,0,0,1,0,N
137,88.0,360.0,1.0,2,1,1,1,Y
138,242.0,360.0,0.0,0,1,0,0,N
139,129.0,360.0,1.0,2,1,1,0,N
140,185.0,360.0,1.0,2,1,1,0,N
141,168.0,360.0,1.0,0,1,0,0,Y
142,175.0,180.0,1.0,0,1,0,1,Y
143,122.0,360.0,1.0,0,1,1,0,Y
144,187.0,180.0,1.0,2,1,1,0,Y
145,100.0,360.0,1.0,0,0,1,0,Y
146,70.0,360.0,1.0,2,0,1,0,Y
147,30.0,360.0,1.0,1,1,1,0,Y
148,225.0,360.0,1.0,0,0,0,0,N
149,125.0,360.0,1.0,0,1,1,0,Y
150,118.0,360.0,0.0,0,1,0,0,N
151,152.0,360.0,1.0,0,1,1,1,Y
152,244.0,360.0,1.0,0,1,0,0,N
153,113.0,360.0,1.0,2,1,1,0,N
154,50.0,360.0,1.0,0,1,0,0,Y
155,600.0,180.0,0.0,4,1,1,0,Y
156,160.0,360.0,0.8421985815602837,1,1,1,0,Y
157,187.0,360.0,1.0,1,1,1,0,Y
158,120.0,360.0,1.0,0,1,0,0,Y
159,255.0,360.0,1.0,0,1,1,0,Y
160,98.0,360.0,1.0,0,1,1,0,Y
161,275.0,360.0,1.0,0,1,1,0,N
162,121.0,360.0,0.0,1,1,1,0,N
163,158.0,360.0,1.0,2,1,1,0,Y
164,75.0,180.0,1.0,0,1,1,0,Y
165,182.0,342.0,1.0,0,1,1,0,Y
166,112.0,360.0,1.0,0,0,1,0,N
167,129.0,360.0,1.0,0,1,1,0,Y
168,63.0,480.0,0.0,0,1,0,0,N
169,200.0,360.0,1.0,2,1,1,0,Y
170,95.0,360.0,1.0,0,1,1,0,Y
171,700.0,300.0,1.0,4,1,1,0,Y
172,81.0,180.0,1.0,4,1,1,0,N
173,187.0,360.0,1.0,0,1,1,0,Y
174,87.0,360.0,1.0,0,1,1,1,N
175,116.0,360.0,1.0,0,1,1,0,Y
176,101.0,360.0,1.0,2,1,1,0,Y
177,495.0,360.0,0.0,4,1,1,0,N
178,116.0,360.0,1.0,1,1,1,0,Y
179,102.0,480.0,0.0,0,1,0,0,N
180,180.0,360.0,0.0,1,1,1,0,N
181,67.0,360.0,0.8421985815602837,0,1,0,0,N
182,73.0,180.0,1.0,0,1,1,0,Y
183,260.0,360.0,1.0,1,1,1,0,N
184,108.0,360.0,1.0,0,0,1,0,Y
185,120.0,360.0,1.0,0,1,1,1,Y
186,66.0,300.0,0.0,1,1,1,1,N
187,58.0,360.0,0.8421985815602837,0,1,1,0,Y
188,168.0,360.0,1.0,0,1,1,1,Y
189,188.0,180.0,1.0,0,1,1,0,Y
190,48.0,360.0,1.0,0,1,0,0,Y
191,164.0,360.0,1.0,0,1,0,0,N
192,160.0,360.0,1.0,0,1,1,0,N
193,76.0,360.0,1.0,0,1,0,0,Y
194,120.0,360.0,1.0,0,1,0,0,Y
195,170.0,360.0,1.0,1,1,1,0,N
196,187.0,360.0,1.0,0,1,0,0,Y
197,120.0,342.0,1.0,0,0,0,0,Y
198,113.0,360.0,0.8421985815602837,0,0,1,0,Y
199,83.0,360.0,1.0,0,1,0,1,N
200,90.0,360.0,1.0,1,1,1,0,Y
201,166.0,360.0,0.0,2,1,0,0,Y
202,146.41216216216216,180.0,1.0,4,1,1,0,N
203,135.0,360.0,1.0,1,1,1,0,Y
204,124.0,360.0,1.0,2,1,1,0,Y
205,120.0,360.0,1.0,0,0,0,0,Y
206,80.0,360.0,1.0,0,0,0,0,Y
207,55.0,360.0,1.0,0,1,0,0,Y
208,59.0,360.0,1.0,0,1,0,0,Y
209,127.0,360.0,1.0,0,1,0,0,N
210,214.0,360.0,1.0,0,0,0,0,N
211,128.0,360.0,0.0,4,1,1,0,N
212,240.0,360.0,1.0,1,1,1,1,Y
213,130.0,360.0,1.0,4,1,1,1,Y
214,137.0,360.0,1.0,0,1,1,0,Y
215,100.0,360.0,1.0,4,1,1,0,Y
216,135.0,360.0,1.0,0,1,1,0,N
217,131.0,360.0,1.0,0,1,1,0,Y
218,72.0,360.0,0.0,2,1,1,0,N
219,127.0,360.0,0.8421985815602837,2,0,1,0,Y
220,60.0,360.0,0.0,0,1,1,0,N
221,116.0,360.0,1.0,2,1,1,0,Y
222,144.0,360.0,1.0,0,1,0,0,Y
223,175.0,342.0,1.0,0,1,1,0,Y
224,128.0,360.0,1.0,0,1,1,0,Y
225,170.0,360.0,1.0,0,1,1,0,N
226,138.0,360.0,1.0,0,1,1,1,N
227,210.0,360.0,1.0,2,1,1,0,Y
228,158.0,480.0,1.0,0,1,1,0,Y
229,200.0,360.0,1.0,0,1,0,1,Y
230,104.0,360.0,1.0,1,1,1,0,Y
231,42.0,180.0,1.0,0,1,1,0,Y
232,120.0,342.0,1.0,0,1,0,0,Y
233,280.0,360.0,1.0,0,0,0,0,Y
234,140.0,360.0,1.0,1,1,1,0,Y
235,170.0,360.0,1.0,1,1,1,0,Y
236,255.0,360.0,0.8421985815602837,0,1,1,0,N
237,122.0,360.0,0.8421985815602837,0,0,0,1,Y
238,112.0,360.0,1.0,1,0,0,0,Y
239,96.0,360.0,1.0,1,1,1,0,Y
240,120.0,360.0,1.0,2,1,1,0,Y
241,140.0,180.0,1.0,1,1,1,0,N
242,155.0,60.0,1.0,0,1,0,0,Y
243,108.0,360.0,1.0,2,1,1,1,Y
244,123.0,360.0,1.0,0,1,1,0,Y
245,120.0,180.0,1.0,0,1,0,1,N
246,112.0,360.0,1.0,2,1,1,0,Y
247,137.0,180.0,1.0,1,1,1,0,Y
248,123.0,480.0,1.0,1,1,1,0,Y
249,90.0,360.0,1.0,0,1,1,0,Y
250,201.0,360.0,0.0,0,1,1,0,N
251,138.0,360.0,1.0,2,0,0,0,N
252,104.0,360.0,1.0,0,1,0,1,Y
253,279.0,180.0,1.0,1,1,1,0,Y
254,192.0,360.0,0.0,0,1,0,1,N
255,255.0,360.0,1.0,4,0,0,0,Y
256,115.0,360.0,0.0,0,1,0,0,N
257,94.0,360.0,1.0,4,1,1,0,N
258,304.0,360.0,1.0,0,1,1,0,N
259,128.0,360.0,0.8421985815602837,4,1,1,0,N
260,330.0,360.0,0.8421985815602837,1,1,1,0,Y
261,134.0,360.0,1.0,0,1,0,0,Y
262,155.0,36.0,1.0,1,0,0,0,N
263,120.0,360.0,1.0,0,0,0,0,Y
264,128.0,360.0,1.0,0,1,0,1,Y
265,151.0,360.0,1.0,0,1,0,0,Y
266,150.0,360.0,1.0,2,1,1,0,Y
267,160.0,360.0,0.0,4,1,1,0,Y
268,135.0,360.0,1.0,0,0,0,0,N
269,90.0,360.0,1.0,1,0,0,0,Y
270,30.0,360.0,1.0,0,0,0,0,Y
271,136.0,360.0,1.0,0,1,1,0,Y
272,126.0,360.0,1.0,0,1,0,0,Y
273,150.0,360.0,1.0,0,1,1,0,Y
274,90.0,360.0,1.0,2,1,1,0,Y
275,115.0,360.0,1.0,1,1,1,0,Y
276,207.0,360.0,1.0,0,1,1,0,Y
277,80.0,360.0,1.0,0,1,1,0,Y
278,436.0,360.0,1.0,0,1,1,0,Y
279,124.0,360.0,0.8421985815602837,0,0,1,0,Y
280,158.0,360.0,0.0,1,1,0,1,N
281,112.0,360.0,1.0,0,1,1,0,Y
282,78.0,180.0,1.0,2,1,1,0,Y
283,54.0,360.0,1.0,0,0,0,0,Y
284,146.41216216216216,360.0,1.0,0,1,1,0,N
285,89.0,360.0,1.0,0,1,0,0,Y
286,99.0,300.0,1.0,0,0,0,1,N
287,120.0,360.0,1.0,0,1,1,0,Y
288,115.0,360.0,1.0,0,0,0,0,Y
289,187.0,360.0,1.0,0,1,0,0,Y
290,139.0,360.0,1.0,0,1,1,0,Y
291,127.0,360.0,0.0,2,1,1,0,N
292,134.0,360.0,1.0,2,1,1,0,Y
293,143.0,480.0,0.0,0,0,0,0,N
294,172.0,360.0,1.0,0,1,1,0,Y
295,110.0,360.0,1.0,4,1,1,0,Y
296,200.0,360.0,1.0,1,1,1,0,Y
297,135.0,360.0,1.0,1,0,1,0,Y
298,151.0,480.0,1.0,0,0,0,0,N
299,113.0,360.0,1.0,1,1,1,0,N
300,93.0,360.0,0.0,0,1,1,0,N
301,105.0,360.0,1.0,0,1,1,0,Y
302,132.0,360.0,1.0,0,0,0,0,Y
303,96.0,360.0,1.0,1,1,1,0,Y
304,140.0,360.0,1.0,0,1,0,0,Y
305,146.41216216216216,360.0,1.0,0,1,0,0,N
306,135.0,360.0,1.0,0,0,0,0,Y
307,104.0,360.0,0.0,0,0,0,0,N
308,480.0,360.0,1.0,0,1,0,0,N
309,185.0,360.0,0.8421985815602837,2,1,1,0,Y
310,84.0,360.0,1.0,0,0,0,0,Y
311,111.0,360.0,1.0,0,1,0,0,Y
312,56.0,360.0,1.0,0,0,0,0,Y
313,144.0,84.0,0.8421985815602837,2,1,1,1,Y
314,159.0,360.0,1.0,0,1,1,0,N
315,111.0,180.0,1.0,1,1,1,0,Y
316,120.0,360.0,1.0,2,1,1,0,Y
317,88.0,360.0,0.8421985815602837,0,1,1,0,Y
318,112.0,360.0,0.8421985815602837,1,0,0,0,Y
319,155.0,360.0,1.0,1,1,1,1,N
320,115.0,360.0,1.0,0,1,1,0,Y
321,124.0,360.0,1.0,4,1,1,0,Y
322,146.41216216216216,360.0,1.0,2,1,1,0,Y
323,132.0,360.0,0.8421985815602837,0,0,0,0,Y
324,300.0,360.0,1.0,4,1,1,0,Y
325,376.0,360.0,0.0,1,1,1,1,N
326,130.0,360.0,0.0,0,1,0,0,Y
327,184.0,360.0,1.0,0,1,1,1,Y
328,110.0,360.0,1.0,0,0,1,0,N
329,67.0,360.0,1.0,0,0,0,0,Y
330,117.0,360.0,1.0,1,1,0,0,Y
331,98.0,360.0,1.0,0,1,0,0,Y
332,71.0,360.0,1.0,0,1,0,0,Y
333,490.0,180.0,1.0,0,1,1,0,Y
334,182.0,180.0,1.0,1,1,1,1,Y
335,70.0,342.0,1.0,0,1,1,1,Y
336,160.0,360.0,1.0,1,1,1,0,Y
337,176.0,360.0,1.0,2,1,1,1,Y
338,146.41216216216216,360.0,0.0,4,0,0,0,N
339,71.0,360.0,1.0,0,0,0,0,Y
340,173.0,360.0,1.0,4,1,1,0,N
341,46.0,360.0,1.0,0,0,0,0,N
342,158.0,360.0,1.0,1,1,1,0,Y
343,74.0,360.0,1.0,4,1,1,0,Y
344,125.0,360.0,1.0,2,1,1,0,Y
345,160.0,360.0,1.0,0,1,1,0,Y
346,152.0,360.0,0.0,0,1,1,0,N
347,126.0,360.0,1.0,2,1,1,0,Y
348,259.0,360.0,0.8421985815602837,0,1,1,0,Y
349,187.0,360.0,1.0,0,1,1,0,Y
350,228.0,360.0,1.0,0,1,1,0,Y
351,308.0,360.0,1.0,0,1,0,0,N
352,95.0,360.0,1.0,4,1,1,0,Y
353,105.0,360.0,0.0,0,0,1,1,N
354,130.0,360.0,1.0,0,0,1,0,Y
355,116.0,180.0,1.0,0,0,0,0,Y
356,165.0,360.0,1.0,2,1,1,0,Y
357,67.0,360.0,1.0,1,1,1,0,N
358,100.0,480.0,0.0,0,1,1,0,N
359,200.0,360.0,1.0,4,1,1,0,Y
360,81.0,360.0,1.0,1,0,0,0,N
361,236.0,360.0,1.0,2,1,1,0,Y
362,130.0,360.0,1.0,0,1,1,0,Y
363,95.0,300.0,0.8421985815602837,0,1,1,0,Y
364,141.0,360.0,1.0,0,1,0,1,Y
365,133.0,360.0,1.0,0,1,0,0,N
366,96.0,480.0,1.0,0,1,0,0,N
367,124.0,342.0,0.0,0,1,0,0,N
368,175.0,360.0,1.0,1,1,1,0,Y
369,570.0,360.0,1.0,0,1,1,0,N
370,55.0,360.0,1.0,0,0,0,1,Y
371,155.0,360.0,1.0,2,1,1,0,Y
372,380.0,300.0,1.0,2,1,1,1,Y
373,111.0,180.0,0.0,1,1,0,0,N
374,110.0,360.0,1.0,0,0,0,0,Y
375,120.0,180.0,1.0,0,1,1,0,Y
376,130.0,360.0,1.0,4,1,1,0,Y
377,130.0,360.0,0.8421985815602837,0,1,1,0,Y
378,71.0,480.0,1.0,0,1,0,0,N
379,130.0,360.0,1.0,2,1,1,0,Y
380,128.0,360.0,1.0,0,1,1,0,Y
381,296.0,360.0,1.0,0,1,0,0,Y
382,156.0,360.0,1.0,0,0,0,0,Y
383,128.0,360.0,1.0,0,1,0,1,Y
384,100.0,360.0,1.0,2,1,1,0,N
385,113.0,180.0,1.0,1,1,0,0,Y
386,132.0,360.0,1.0,0,1,0,0,Y
387,146.41216216216216,360.0,0.0,0,1,1,0,N
388,136.0,360.0,1.0,0,1,1,0,Y
389,125.0,360.0,1.0,0,1,1,0,Y
390,185.0,360.0,1.0,4,1,0,0,Y
391,275.0,360.0,1.0,4,1,1,0,Y
392,120.0,360.0,0.8421985815602837,0,1,1,0,Y
393,113.0,180.0,1.0,2,1,1,0,Y
394,113.0,360.0,1.0,2,1,1,0,Y
395,135.0,360.0,0.8421985815602837,2,1,1,0,Y
396,71.0,360.0,0.0,0,0,0,0,N
397,95.0,360.0,1.0,0,1,1,0,Y
398,109.0,360.0,1.0,0,1,0,0,Y
399,103.0,360.0,0.0,0,0,0,0,N
400,45.0,180.0,0.0,2,1,1,0,N
401,65.0,300.0,1.0,0,1,0,0,N
402,103.0,360.0,1.0,0,1,0,0,Y
403,53.0,360.0,1.0,0,0,0,0,Y
404,194.0,360.0,1.0,0,0,0,1,N
405,115.0,360.0,1.0,0,0,0,0,Y
406,115.0,360.0,1.0,0,1,1,0,Y
407,66.0,360.0,1.0,0,0,0,0,Y
408,152.0,300.0,0.0,1,1,1,0,N
409,360.0,360.0,0.0,4,1,1,0,N
410,62.0,360.0,1.0,1,0,0,1,N
411,160.0,360.0,0.8421985815602837,0,1,1,0,Y
412,218.0,360.0,0.0,0,1,1,0,N
413,110.0,360.0,1.0,0,1,1,0,Y
414,178.0,360.0,0.0,0,0,1,0,N
415,60.0,360.0,1.0,0,0,0,0,Y
416,160.0,360.0,1.0,1,0,0,0,N
417,239.0,360.0,1.0,2,1,1,1,N
418,112.0,360.0,1.0,0,1,1,0,Y
419,138.0,360.0,1.0,0,1,1,0,Y
420,138.0,360.0,1.0,0,1,1,0,Y
421,80.0,342.0,0.0,0,0,0,0,N
422,100.0,360.0,1.0,0,1,1,0,Y
423,110.0,342.0,0.0,1,1,1,0,N
424,96.0,360.0,1.0,0,1,1,0,Y
425,121.0,360.0,1.0,0,1,1,0,Y
426,81.0,360.0,1.0,1,0,0,0,N
427,133.0,360.0,1.0,2,1,1,0,Y
428,87.0,360.0,1.0,0,1,1,0,Y
429,60.0,180.0,1.0,0,1,0,0,Y
430,150.0,360.0,1.0,1,0,0,1,Y
431,105.0,360.0,0.0,0,1,0,0,N
432,405.0,360.0,1.0,0,1,0,0,Y
433,143.0,360.0,1.0,0,1,1,0,Y
434,100.0,360.0,1.0,0,1,0,0,Y
435,146.41216216216216,240.0,1.0,0,0,1,0,Y
436,50.0,360.0,1.0,0,1,0,0,Y
437,146.41216216216216,360.0,1.0,0,1,1,0,Y
438,187.0,360.0,0.0,0,1,0,1,N
439,138.0,360.0,1.0,0,0,1,1,Y
440,187.0,360.0,1.0,0,1,0,0,Y
441,180.0,360.0,1.0,0,1,1,0,Y
442,148.0,360.0,1.0,4,1,0,0,Y
443,152.0,360.0,1.0,1,1,0,0,Y
444,175.0,300.0,0.8421985815602837,0,1,1,0,Y
445,130.0,360.0,1.0,1,1,1,1,Y
446,110.0,360.0,1.0,2,1,1,0,Y
447,55.0,360.0,1.0,0,1,1,0,N
448,150.0,360.0,0.0,2,1,1,0,N
449,190.0,360.0,0.8421985815602837,1,1,0,1,N
450,125.0,360.0,0.0,2,1,1,0,N
451,60.0,300.0,0.8421985815602837,2,1,1,0,Y
452,149.0,360.0,0.0,0,1,1,0,N
453,90.0,180.0,0.0,0,1,1,0,Y
454,84.0,360.0,1.0,0,1,0,1,Y
455,96.0,360.0,1.0,2,1,1,0,Y
456,118.0,360.0,1.0,0,1,1,0,Y
457,173.0,360.0,1.0,0,1,1,0,N
458,136.0,360.0,1.0,2,1,0,0,Y
459,160.0,360.0,1.0,0,1,1,0,N
460,160.0,360.0,0.8421985815602837,0,1,1,1,Y
461,128.0,180.0,1.0,4,1,1,0,Y
462,153.0,360.0,1.0,0,1,1,0,Y
463,132.0,360.0,1.0,1,0,0,0,Y
464,98.0,360.0,0.0,0,1,0,0,N
465,140.0,360.0,1.0,0,1,0,0,Y
466,70.0,180.0,0.0,4,1,1,0,N
467,110.0,360.0,1.0,0,1,1,0,Y
468,98.0,360.0,1.0,2,0,1,0,Y
469,110.0,360.0,1.0,0,1,1,0,N
470,162.0,360.0,1.0,1,1,1,1,Y
471,113.0,180.0,0.0,1,1,1,0,N
472,100.0,360.0,1.0,4,1,1,0,Y
473,93.0,360.0,0.8421985815602837,0,0,0,1,Y
474,162.0,360.0,1.0,2,1,0,0,Y
475,150.0,360.0,1.0,2,1,1,1,Y
476,230.0,300.0,1.0,2,1,1,0,Y
477,132.0,360.0,0.0,2,1,1,0,N
478,86.0,360.0,1.0,1,1,1,1,Y
479,146.41216216216216,360.0,1.0,2,1,1,0,N
480,154.0,360.0,1.0,0,0,0,0,Y
481,113.0,360.0,1.0,4,1,1,0,Y
482,128.0,360.0,1.0,0,1,1,0,Y
483,234.0,360.0,1.0,0,1,1,0,Y
484,246.0,360.0,1.0,2,1,1,0,Y
485,131.0,360.0,1.0,1,1,1,0,Y
486,80.0,360.0,0.0,2,1,0,0,N
487,500.0,360.0,1.0,1,1,1,0,N
488,160.0,360.0,1.0,2,1,1,1,Y
489,75.0,360.0,1.0,0,1,0,0,N
490,96.0,360.0,0.8421985815602837,0,1,0,0,Y
491,186.0,360.0,0.8421985815602837,1,1,1,0,Y
492,110.0,360.0,1.0,0,1,0,0,Y
493,225.0,360.0,1.0,0,0,0,1,Y
494,119.0,360.0,0.0,0,1,1,0,N
495,105.0,84.0,1.0,1,0,1,0,Y
496,107.0,360.0,1.0,0,1,1,0,Y
497,111.0,12.0,0.8421985815602837,0,1,1,0,Y
498,95.0,360.0,1.0,1,1,1,1,Y
499,209.0,360.0,0.0,0,1,0,0,N
500,113.0,480.0,1.0,0,0,0,0,Y
501,100.0,360.0,1.0,0,0,0,0,Y
502,208.0,360.0,1.0,2,1,1,0,Y
503,138.0,360.0,0.8421985815602837,1,1,1,0,N
504,124.0,300.0,1.0,0,1,1,0,Y
505,243.0,360.0,1.0,2,1,1,0,Y
506,480.0,360.0,0.8421985815602837,0,1,1,0,Y
507,96.0,360.0,1.0,0,1,0,0,N
508,188.0,360.0,1.0,0,1,1,1,Y
509,40.0,360.0,1.0,1,0,0,0,Y
510,100.0,360.0,1.0,0,1,0,0,N
511,250.0,360.0,1.0,1,1,1,0,Y
512,148.0,360.0,1.0,2,1,1,0,Y
513,70.0,180.0,1.0,0,1,1,0,N
514,311.0,360.0,1.0,0,1,0,0,N
515,150.0,360.0,1.0,4,1,1,0,Y
516,113.0,480.0,1.0,2,0,1,0,Y
517,123.0,360.0,0.0,0,1,1,0,N
518,185.0,360.0,1.0,0,1,0,0,N
519,95.0,360.0,1.0,0,0,0,0,N
520,45.0,360.0,1.0,2,1,1,0,Y
521,55.0,360.0,1.0,0,1,0,0,Y
522,100.0,360.0,1.0,4,1,1,1,Y
523,480.0,360.0,1.0,2,1,1,1,Y
524,146.41216216216216,360.0,1.0,0,1,0,0,N
525,400.0,360.0,1.0,2,1,1,1,Y
526,110.0,360.0,1.0,0,1,1,0,Y
527,161.0,360.0,0.0,1,1,1,0,Y
528,94.0,360.0,1.0,1,1,0,0,Y
529,130.0,360.0,1.0,0,1,0,0,Y
530,216.0,360.0,0.8421985815602837,0,1,1,0,Y
531,100.0,360.0,1.0,4,1,1,0,Y
532,110.0,360.0,0.0,2,1,0,0,N
533,196.0,360.0,0.8421985815602837,1,1,0,0,N
534,125.0,360.0,1.0,0,0,0,1,Y
535,126.0,360.0,1.0,0,1,0,0,Y
536,324.0,360.0,1.0,0,1,1,0,Y
537,107.0,360.0,1.0,2,1,0,0,Y
538,66.0,360.0,1.0,0,1,1,0,N
539,157.0,180.0,1.0,4,1,1,0,Y
540,140.0,180.0,1.0,1,0,1,0,Y
541,99.0,360.0,0.0,0,0,0,0,N
542,95.0,360.0,1.0,1,0,0,0,Y
543,128.0,360.0,1.0,1,1,1,0,Y
544,102.0,360.0,0.8421985815602837,0,0,1,0,Y
545,155.0,360.0,1.0,0,1,1,0,Y
546,80.0,36.0,1.0,0,1,0,0,N
547,145.0,360.0,1.0,0,1,0,0,Y
548,103.0,360.0,0.0,0,0,0,0,N
